Date,Open,High,Low,Close,Volume
2018-01-22,454.85819903760176,464.82194039525547,454.79792448624323,462.0296936035156,9650214
2018-01-23,464.0385753240007,477.29682033325787,464.0385753240007,472.9175720214844,15403796
2018-01-24,471.993609268903,490.5752431822333,469.0607047310943,476.41302490234375,20604718
2018-01-25,474.8862584909954,475.44873933345747,466.9513992649403,472.234619140625,13548914
2018-01-29,468.6789250508119,480.61132452503875,468.1365031299689,475.2477722167969,10823002
2018-01-30,473.64067141175406,475.32806444911716,467.13205031713414,470.32611083984375,8628312
2018-01-31,465.7059062717596,468.69903588320244,458.87590131996586,462.13018798828125,9213698
2018-02-01,458.89589228013983,465.2036312289511,449.3941907372195,459.8601379394531,13005454
2018-02-02,456.1037205458991,467.21253270924535,454.0346209676951,459.3178405761719,10244486
2018-02-05,458.01210653986743,463.9783070663418,456.34477195734405,457.2889099121094,9860220
2018-02-06,441.9214497901091,453.3315870875068,439.9930069646524,445.05523681640625,10552078
2018-02-07,448.36973120867935,451.9052827567883,443.3677766741858,445.5774841308594,8342056
2018-02-08,451.10174534779725,460.58338919711224,448.5907141883612,455.7019348144531,8807244
2018-02-09,449.173378635214,450.09745797613965,444.35219746918307,445.6177673339844,4382690
2018-02-12,447.887647346829,450.21785495048965,441.0576422594593,443.06646728515625,6291972
2018-02-14,444.35212867717706,448.89209318977504,438.0042215072126,441.0375671386719,8345712
2018-02-15,443.146789187535,453.8738949294029,443.146789187535,447.7469787597656,7986736
2018-02-16,451.9856261820979,458.6750232583088,449.21343786613187,453.2110290527344,9889222
2018-02-19,453.3516677646269,456.4050721711398,450.09738084395406,454.69757080078125,6461840
2018-02-20,443.4481338108958,461.828883185164,443.4481338108958,456.7867126464844,7188594
2018-02-21,461.0253351481105,462.79311094780815,458.01209766348234,460.98516845703125,13771358
2018-02-22,460.2419762105141,467.6545218230064,458.19293520477163,466.3487854003906,17859974
2018-02-23,467.45352772263055,468.45794011567443,460.7239646892364,464.2996826171875,9459828
2018-02-26,462.4315112467972,464.05867910102234,455.7421142423741,457.4496154785156,5083608
2018-02-27,460.0007803055835,463.4961649518956,452.2467458525075,462.11004638671875,6616026
2018-02-28,461.0654943549065,477.8994573044863,459.03661057433817,471.109619140625,17268416
2018-03-01,469.90439631171955,469.90439631171955,464.4605092681959,466.3487854003906,6579852
2018-03-05,466.34875810435864,470.3865162692385,459.3178700864166,464.40020751953125,8101456
2018-03-06,467.07194118135754,468.2169616736668,459.458464665934,462.5721435546875,6689734
2018-03-07,464.0385806373071,466.047405661711,457.2286834220097,459.6593322753906,6370416
2018-03-08,461.6279651243969,468.37763645121834,461.6279651243969,464.70147705078125,6093014
2018-03-09,466.9915792436939,468.458031432108,464.2596064282159,467.4134521484375,4220964
2018-03-12,472.47561373339664,478.8435788206629,470.7681125783227,476.392822265625,7676970
2018-03-13,474.16298192211235,480.91265280700867,472.13409831845263,475.609375,8581052
2018-03-14,474.0827126610934,478.3414119661126,469.70346423542316,474.4041442871094,4429710
2018-03-15,474.0825933412064,477.45742839065406,470.8684740643169,475.0870056152344,6101500
2018-03-16,474.88630857361903,475.0470244089265,469.76380397606096,470.8284912109375,17954826
2018-03-19,467.6545070051913,474.283630171502,459.07683320174243,460.72406005859375,7526620
2018-03-20,461.46730658582203,470.0650880912504,461.46730658582203,467.87548828125,8553766
2018-03-21,470.0650203467947,472.2747277073993,466.93123392705235,469.06060791015625,7692994
2018-03-22,467.85536109969445,473.05819843910274,464.1591425701821,466.5697326660156,6813168
2018-03-23,460.8244804301191,471.59180264173415,458.9562632683076,469.100830078125,12008084
2018-03-26,468.81967201551635,468.81967201551635,459.6192420640824,464.13909912109375,8930722
2018-03-27,466.0474003043084,466.56971442208106,462.06991699299545,463.6368103027344,3802088
2018-03-28,462.3311096078219,462.3311096078219,452.4878663443923,454.7176818847656,12558322
2018-04-02,458.41388144403544,461.84899193469,450.4991302775524,456.8670959472656,8072702
2018-04-03,455.8826616341673,459.4383206179249,453.23102281658356,458.19281005859375,4077168
2018-04-04,459.6190889223956,459.84007925565226,449.97673041353414,451.66412353515625,4813302
2018-04-05,457.8313813162064,462.5521206430991,453.63290712698904,461.0455017089844,7763544
2018-04-06,459.21742499012174,460.42272006883593,450.82052613302943,452.7891845703125,5937742
2018-04-09,451.98569539159166,452.3071270590826,444.5731496046043,446.46142578125,7202882
2018-04-10,446.76262302278496,451.7846848823037,444.11098416967366,447.3251037597656,8926058
2018-04-11,449.1732947833278,454.5971225825898,448.57064725007643,451.684326171875,9025574
2018-04-12,453.7734900466595,471.16993533008497,451.98565529426185,467.0920104980469,17044366
2018-04-13,471.672011608794,476.4530239201863,462.1300948492464,470.6474914550781,21227038
2018-04-16,442.74504162046304,458.01211202116866,442.74504162046304,455.28009033203125,24745084
2018-04-17,452.7892367871248,452.94995262487066,447.968055916277,452.0660400390625,10397940
2018-04-18,451.12184780348645,455.90286140218836,447.5059625841697,452.3673095703125,10430380
2018-04-19,451.583885209832,457.9317921816378,451.2222868809298,455.1394958496094,8525542
2018-04-20,457.61038025507304,479.5869083109955,456.7867423061883,473.4599914550781,24272692
2018-04-23,469.26148865970146,487.90339322339105,464.13898525181514,477.1762390136719,21830638
2018-04-24,476.0915404163227,480.67167137334775,462.0699316535731,463.83770751953125,8526216
2018-04-25,462.83329077941215,470.4668259571976,460.10126909835157,466.1880187988281,11594178
2018-04-26,471.6720979804052,474.7456099607989,466.04738812373944,472.6564025878906,11302084
2018-04-27,474.0827165445242,478.74318089844917,471.75245984577134,476.171875,7663370
2018-04-30,474.76570775320425,485.31203960010214,474.34388390547747,481.9171447753906,5511678
2018-05-02,481.6760251500784,482.76077093545246,474.4844224857371,480.9327697753906,10295042
2018-05-03,481.013257571652,484.00638789692516,472.5159160463831,475.1073303222656,5332230
2018-05-04,476.09156054062237,476.4933255706145,464.0386096408598,471.310546875,6023368
2018-05-07,474.58484469080815,478.10028798481414,472.27469624046137,475.2879333496094,4638960
2018-05-08,473.2389788469179,473.2389788469179,466.46924875556215,468.2771911621094,5718556
2018-05-09,469.06068496390236,472.83728615476963,467.252742280958,470.3463134765625,3783504
2018-05-10,472.47565575168557,475.28801084544557,467.1924360168345,469.26153564453125,3182862
2018-05-11,470.9890779045435,475.368276693509,468.47804692757984,474.38397216796875,3311706
2018-05-14,475.8303865779904,478.7030162492176,470.0650684108977,477.81915283203125,4432094
2018-05-15,477.3369920564444,485.3321254550237,477.3369920564444,479.92840576171875,5611974
2018-05-16,476.9954544078982,481.3144277790373,475.8906007548161,478.0802001953125,6205004
2018-05-17,480.5108832868935,481.09342285070665,471.49127971887907,475.2477722167969,9519598
2018-05-18,475.2879832698049,476.7142686020356,471.27033336896125,475.3683166503906,7139660
2018-05-21,473.9018827679679,477.4574928896351,470.06500774543633,473.88177490234375,8475320
2018-05-22,472.07395507104843,481.3145516383966,471.6320233048058,479.647216796875,5636804
2018-05-23,480.1091470212176,485.1914837837558,474.68531983729594,476.05133056640625,9538442
2018-05-24,481.314369095436,493.18654197394045,481.314369095436,490.5549621582031,9740570
2018-05-25,494.21112365826565,501.66388413076015,490.4747385317406,493.48797607421875,8901438
2018-05-28,494.5726080617267,495.21542211401936,484.5284852335032,487.9033203125,5739794
2018-05-29,487.76290695642473,492.78497037369533,484.60901189550833,488.8275451660156,3388934
2018-05-30,488.9481001176074,493.66883978595735,484.3679684178948,486.8187255859375,6323066
2018-05-31,486.8186189839987,498.992117803892,486.2360793656685,494.8941345214844,19720340
2018-06-01,494.3316656352432,500.6996310742927,489.0283382109568,490.4747314453125,4998356
2018-06-04,490.59516118722627,499.39382323147515,486.9391100213579,497.9474792480469,4270156
2018-06-05,498.9920898515909,498.9920898515909,488.94796565973115,490.4947509765625,4710862
2018-06-06,492.2423809886566,498.81127694071046,490.17333079883093,497.16400146484375,4038184
2018-06-07,497.3850068274388,505.42030580688044,497.3850068274388,503.19049072265625,6676226
2018-06-08,501.4026701335842,507.0273795741853,500.6192480789301,506.24395751953125,6459878
2018-06-11,508.45374100925847,510.24157573198914,504.2352082965137,507.18817138671875,5171290
2018-06-12,508.533950472238,510.7436575451966,502.3869275427618,505.62115478515625,7839820
2018-06-13,508.95586327857336,515.8662008690471,508.95586327857336,512.1699829101562,5766928
2018-06-14,515.7511459662442,515.7511459662442,507.97164935783013,510.27667236328125,7598848
2018-06-15,509.1652164157774,531.5981220703125,508.3419905201982,527.3790893554688,19957760
2018-06-18,528.511110719428,531.4953050751257,519.5996789046469,521.6783447265625,8214846
2018-06-19,519.8670892836794,520.0317444917405,509.5973675944533,511.0585632324219,7545700
2018-06-20,513.8988051833853,515.4835051061715,509.57686889630037,511.6966857910156,5371802
2018-06-21,512.8492444221051,517.1917820698103,508.75371479370114,513.0962524414062,5798790
2018-06-22,511.63485196754925,516.7800133911971,510.89392862425717,513.6311645507812,4343118
2018-06-25,517.4593090597858,526.3707408355199,516.1627180203974,523.7569580078125,7731178
2018-06-26,522.3367283627178,528.4697701318006,521.2047929781651,525.9794921875,4483504
2018-06-27,528.49057838986,532.4009025345989,520.9374886436432,522.7485961914062,6952142
2018-06-28,525.3416180570181,534.2735988015603,525.3210173116266,530.8160400390625,10996818
2018-06-29,534.2942065321225,541.2710258930641,528.2023148116156,538.0604248046875,9966600
2018-07-02,540.8594532288774,551.5613906595859,540.8594532288774,549.3798217773438,4830144
2018-07-03,548.2273358098357,558.9292732449119,548.16558381395,557.2210693359375,8127452
2018-07-04,556.5213714462822,556.7683291947839,551.0880497506091,553.7017822265625,5025722
2018-07-05,554.4837513859165,554.5455033727153,521.966330887535,528.510986328125,17019902
2018-07-06,531.0835691173182,535.8582689319693,522.3367945823499,528.6138916015625,11215356
